,cost,kernel,error_train,error_test
0,0.1,linear,0.040000000000000036,0.055762081784386575
1,0.1,poly,0.1466666666666666,0.059479553903345694
2,0.1,rbf,0.1266666666666667,0.048327137546468446
3,0.5,linear,0.040000000000000036,0.048327137546468446
4,0.5,poly,0.11333333333333329,0.06691449814126393
5,0.5,rbf,0.10333333333333339,0.0780669144981413
6,1.0,linear,0.040000000000000036,0.044609665427509326
7,1.0,poly,0.10999999999999999,0.06691449814126393
8,1.0,rbf,0.09999999999999998,0.08550185873605953
9,1.5,linear,0.036666666666666625,0.040892193308550207
10,1.5,poly,0.10333333333333339,0.06691449814126393
11,1.5,rbf,0.08999999999999997,0.08550185873605953
12,2.0,linear,0.033333333333333326,0.040892193308550207
13,2.0,poly,0.10666666666666669,0.06691449814126393
14,2.0,rbf,0.09333333333333338,0.08550185873605953
15,2.5,linear,0.030000000000000027,0.044609665427509326
16,2.5,poly,0.10666666666666669,0.06319702602230481
17,2.5,rbf,0.08999999999999997,0.08550185873605953
18,3.0,linear,0.033333333333333326,0.048327137546468446
19,3.0,poly,0.10666666666666669,0.059479553903345694
20,3.0,rbf,0.08999999999999997,0.0780669144981413
21,3.5,linear,0.030000000000000027,0.048327137546468446
22,3.5,poly,0.10666666666666669,0.055762081784386575
23,3.5,rbf,0.08666666666666667,0.07063197026022305
24,4.0,linear,0.030000000000000027,0.048327137546468446
25,4.0,poly,0.10666666666666669,0.059479553903345694
26,4.0,rbf,0.08666666666666667,0.07434944237918217
27,4.5,linear,0.030000000000000027,0.048327137546468446
28,4.5,poly,0.10333333333333339,0.06691449814126393
29,4.5,rbf,0.08999999999999997,0.07063197026022305
30,5.0,linear,0.030000000000000027,0.052044609665427455
31,5.0,poly,0.10333333333333339,0.06691449814126393
32,5.0,rbf,0.08666666666666667,0.07063197026022305
33,5.5,linear,0.030000000000000027,0.052044609665427455
34,5.5,poly,0.09333333333333338,0.07063197026022305
35,5.5,rbf,0.08333333333333337,0.06691449814126393
36,6.0,linear,0.030000000000000027,0.052044609665427455
37,6.0,poly,0.08999999999999997,0.07434944237918217
38,6.0,rbf,0.08333333333333337,0.06691449814126393
39,6.5,linear,0.033333333333333326,0.048327137546468446
40,6.5,poly,0.08999999999999997,0.07063197026022305
41,6.5,rbf,0.08666666666666667,0.06319702602230481
42,7.0,linear,0.033333333333333326,0.048327137546468446
43,7.0,poly,0.08999999999999997,0.07434944237918217
44,7.0,rbf,0.08333333333333337,0.06691449814126393
45,7.5,linear,0.033333333333333326,0.048327137546468446
46,7.5,poly,0.08999999999999997,0.07063197026022305
47,7.5,rbf,0.08333333333333337,0.06691449814126393
48,8.0,linear,0.036666666666666625,0.048327137546468446
49,8.0,poly,0.08999999999999997,0.07063197026022305
50,8.0,rbf,0.08666666666666667,0.06319702602230481
51,8.5,linear,0.036666666666666625,0.048327137546468446
52,8.5,poly,0.08999999999999997,0.07063197026022305
53,8.5,rbf,0.08666666666666667,0.06319702602230481
54,9.0,linear,0.036666666666666625,0.048327137546468446
55,9.0,poly,0.08999999999999997,0.07063197026022305
56,9.0,rbf,0.08666666666666667,0.06319702602230481
57,9.5,linear,0.036666666666666625,0.048327137546468446
58,9.5,poly,0.08999999999999997,0.07063197026022305
59,9.5,rbf,0.08666666666666667,0.06319702602230481
60,10.0,linear,0.036666666666666625,0.055762081784386575
61,10.0,poly,0.08999999999999997,0.07063197026022305
62,10.0,rbf,0.08333333333333337,0.055762081784386575
